dataset_id,country,longitude,latitude,planting_date,crop,N_fertilizer,P_fertilizer,K_fertilizer,yield,harvest_date,Total_rain,N_rain_days,N_dry_days,rain.max,rain.av,rain.30,rain.60,rain.90,rain_end,N_days_bFRAP,Tmean,therma_sum30,therma_sum60,therma_sum90,therma_sum100,therma_sum,soil_N,soil_sand,soil_silt,soil_clay,soil_phh2o,soil_SOC,Tmean.1,TMIN,TMAX,SRAD,tmax (°C),precipitation (mm)
hdl_11529_10548238,Nigeria,7.36272,11.52981,2015-02-12,maize,140.0,0.0,41.4903327524687,7316.2316511304,2015-06-12,103.223710894585,26,95,9.26697540283203,0.853088519789956,0.0,11.9746198654175,17.0787391662598,74.1703518629074,42,27.3305785123967,754,1589,908,2724,3307,0.0525,40.1666666666667,32.9,26.95,6.38333333333333,0.603333333333333,27.3305785123967,20.7190082644628,34.6942148760331,24.6438653884298,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.37697,11.75527,2016-06-18,maize,140.0,21.8340611353712,0.0,9896.76470588235,2016-10-16,580.7824010849,60,61,29.7885494232178,4.79985455442066,134.535034894943,232.507499694824,127.752387046814,85.9874794483185,2,24.702479338843,746,1471,813,2448,2989,0.0535,54.5333333333333,21.9833333333333,23.4833333333333,6.36666666666667,0.633333333333333,24.702479338843,21.0165289256198,29.595041322314,20.2248786363636,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36767,11.53308,2015-02-12,maize,0.0,21.8340611353712,41.4903327524687,3050.27171635778,2015-06-12,103.223710894585,26,95,9.26697540283203,0.853088519789956,0.0,11.9746198654175,17.0787391662598,74.1703518629074,42,27.3305785123967,754,1589,908,2724,3307,0.0545,38.75,35.1833333333333,26.0666666666667,6.35,0.633333333333333,27.3305785123967,20.7190082644628,34.6942148760331,24.6438653884298,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36767,11.53308,2015-02-12,maize,140.0,0.0,41.4903327524687,4152.36259238898,2015-06-12,103.223710894585,26,95,9.26697540283203,0.853088519789956,0.0,11.9746198654175,17.0787391662598,74.1703518629074,42,27.3305785123967,754,1589,908,2724,3307,0.0545,38.75,35.1833333333333,26.0666666666667,6.35,0.633333333333333,27.3305785123967,20.7190082644628,34.6942148760331,24.6438653884298,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36767,11.53308,2015-02-12,maize,140.0,21.8340611353712,0.0,5594.45434739552,2015-06-12,103.223710894585,26,95,9.26697540283203,0.853088519789956,0.0,11.9746198654175,17.0787391662598,74.1703518629074,42,27.3305785123967,754,1589,908,2724,3307,0.0545,38.75,35.1833333333333,26.0666666666667,6.35,0.633333333333333,27.3305785123967,20.7190082644628,34.6942148760331,24.6438653884298,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.36767,11.53308,2015-02-12,maize,140.0,21.8340611353712,41.4903327524687,5524.97264294939,2015-06-12,103.223710894585,26,95,9.26697540283203,0.853088519789956,0.0,11.9746198654175,17.0787391662598,74.1703518629074,42,27.3305785123967,754,1589,908,2724,3307,0.0545,38.75,35.1833333333333,26.0666666666667,6.35,0.633333333333333,27.3305785123967,20.7190082644628,34.6942148760331,24.6438653884298,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.45851,11.61091,2015-02-12,maize,0.0,0.0,0.0,4857.79411764706,2015-06-12,95.9928679466248,24,97,8.99428272247314,0.793329487162188,0.0,13.9436087608337,13.5312757492065,68.5179834365845,41,27.4793388429752,744,1579,926,2729,3325,0.054,43.6666666666667,31.1666666666667,25.1833333333333,6.3,0.563333333333333,27.4793388429752,20.702479338843,35.0082644628099,24.8605900578512,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.45851,11.61091,2015-02-12,maize,0.0,21.8340611353712,41.4903327524687,971.288515406162,2015-06-12,95.9928679466248,24,97,8.99428272247314,0.793329487162188,0.0,13.9436087608337,13.5312757492065,68.5179834365845,41,27.4793388429752,744,1579,926,2729,3325,0.054,43.6666666666667,31.1666666666667,25.1833333333333,6.3,0.563333333333333,27.4793388429752,20.702479338843,35.0082644628099,24.8605900578512,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.45851,11.61091,2015-02-12,maize,140.0,0.0,41.4903327524687,6001.20508289153,2015-06-12,95.9928679466248,24,97,8.99428272247314,0.793329487162188,0.0,13.9436087608337,13.5312757492065,68.5179834365845,41,27.4793388429752,744,1579,926,2729,3325,0.054,43.6666666666667,31.1666666666667,25.1833333333333,6.3,0.563333333333333,27.4793388429752,20.702479338843,35.0082644628099,24.8605900578512,33.377359008789085,0.0
hdl_11529_10548238,Nigeria,7.45851,11.61091,2015-02-12,maize,140.0,21.8340611353712,0.0,8297.40659082224,2015-06-12,95.9928679466248,24,97,8.99428272247314,0.793329487162188,0.0,13.9436087608337,13.5312757492065,68.5179834365845,41,27.4793388429752,744,1579,926,2729,3325,0.054,43.6666666666667,31.1666666666667,25.1833333333333,6.3,0.563333333333333,27.4793388429752,20.702479338843,35.0082644628099,24.8605900578512,33.377359008789085,0.0
